benchmark_id,benchmark_name,category,problem_family,primary_metric,implementation_id,library,algorithm,technology,implementation_version,input_status,capability_status,comparison_track,problem_scope,run_status,solution_status,proof_status,termination_reason,status_reason
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,py3dbp,py3dbp,pivot greedy,Python,1.1.2,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=no per-item orientation subset or cost objective | quality is strongly input-order sensitive
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_brkga,u-nesting,BRKGA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_extreme_point,u-nesting,ExtremePoint,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=native API accepts one boundary; multi-bin results require a repeated-single-boundary adapter
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_ga,u-nesting,GA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_layer,u-nesting,Layer/BottomLeftFill,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_sa,u-nesting,SA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=intended only for small instances | JVM sidecar integration and cross-process timing require a separate performance track
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_plain,skjolber/3d-bin-container-packing,Plain,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_cp_sat,OR-Tools,strengthened CP-SAT model,C++ core/Python binding,9.15.6755,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit integer model
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_cplex,CPLEX,strengthened MIP model,native commercial/Python binding,22.1.2.0,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=promotional license has a 1000-constraint limit | not a prebuilt 3D packer
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_gurobi,Gurobi,strengthened MIP model,native commercial/Python binding,13.0.3,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=commercial production and redistribution licensing required | not a prebuilt 3D packer
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,C/C++ core/Python binding,6.2.1,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit model
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,go_bp3d,gedex/bp3d,pivot greedy,Go sidecar,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=PutItem does not enforce cumulative MaxWeight | no per-item orientation subset
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,Python,75764a2b8a5c8e0a6713a4f672c0a8ff81b1107a,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=fix-point produced overlapping certificates | loadbear is a sort key rather than a hard load-bearing constraint
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_fork_box,PackingSolver fork,box portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=column_generation returned an empty incumbent on THPACK9-47
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=stack support is not a general contact/load-flow model
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_upstream_box,PackingSolver upstream,box portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison | upstream issues #537 and #539 affect axle repair and degenerate truck geometry
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,py3dbp,py3dbp,pivot greedy,Python,1.1.2,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=no per-item orientation subset or cost objective | quality is strongly input-order sensitive
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_brkga,u-nesting,BRKGA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_extreme_point,u-nesting,ExtremePoint,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=native API accepts one boundary; multi-bin results require a repeated-single-boundary adapter
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_ga,u-nesting,GA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_layer,u-nesting,Layer/BottomLeftFill,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,rust_sa,u-nesting,SA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=intended only for small instances | JVM sidecar integration and cross-process timing require a separate performance track
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B02,ESICUP THPACK8 / LN,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,skjolber_plain,skjolber/3d-bin-container-packing,Plain,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,exact_cp_sat,OR-Tools,strengthened CP-SAT model,C++ core/Python binding,9.15.6755,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit integer model
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,exact_cplex,CPLEX,strengthened MIP model,native commercial/Python binding,22.1.2.0,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=promotional license has a 1000-constraint limit | not a prebuilt 3D packer
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,exact_gurobi,Gurobi,strengthened MIP model,native commercial/Python binding,13.0.3,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=commercial production and redistribution licensing required | not a prebuilt 3D packer
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,C/C++ core/Python binding,6.2.1,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit model
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,go_bp3d,gedex/bp3d,pivot greedy,Go sidecar,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=PutItem does not enforce cumulative MaxWeight | no per-item orientation subset
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,Python,75764a2b8a5c8e0a6713a4f672c0a8ff81b1107a,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=fix-point produced overlapping certificates | loadbear is a sort key rather than a hard load-bearing constraint
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,packingsolver_fork_box,PackingSolver fork,box portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=column_generation returned an empty incumbent on THPACK9-47
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=stack support is not a general contact/load-flow model
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,packingsolver_upstream_box,PackingSolver upstream,box portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison | upstream issues #537 and #539 affect axle repair and degenerate truck geometry
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,py3dbp,py3dbp,pivot greedy,Python,1.1.2,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=no per-item orientation subset or cost objective | quality is strongly input-order sensitive
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,rust_brkga,u-nesting,BRKGA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,rust_extreme_point,u-nesting,ExtremePoint,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=native API accepts one boundary; multi-bin results require a repeated-single-boundary adapter
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,rust_ga,u-nesting,GA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,rust_layer,u-nesting,Layer/BottomLeftFill,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=shared layer decoder produced out-of-bounds certificates
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,rust_sa,u-nesting,SA,Rust CLI/PyO3 candidate,8cde85b029e4ade663185dacb93fd74440af170d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=shared layer decoder produced out-of-bounds certificates | seed and time limit were not wired to the effective runner
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=intended only for small instances | JVM sidecar integration and cross-process timing require a separate performance track
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packed_profit,skjolber_plain,skjolber/3d-bin-container-packing,Plain,Java 21 sidecar,c73d52190c029a14e64f1bbdd2ea70452d1eb83d,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=JVM sidecar integration and cross-process timing require a separate performance track
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,bins_used,exact_cp_sat,OR-Tools,strengthened CP-SAT model,C++ core/Python binding,9.15.6755,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit integer model
